Ingredient_Name,Description,Health_Risk_Score,Is_Allergen
"Gellan Gum","Microbial polysaccharide, used as a gelling agent and stabilizer in food and beverages",1,FALSE
"Tara Gum","Polysaccharide derived from the seeds of the tara tree, used as a thickener and stabilizer",1,FALSE
"Karaya Gum","Gum derived from the sap of the karaya tree, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Gum Ghatti","Natural gum derived from the sap of the Indian tree Anogeissus latifolia, used as a thickener and stabilizer",1,FALSE
"Carob Bean Gum","Polysaccharide derived from the seeds of the carob tree, used as a thickener and stabilizer",1,FALSE
"Mesquite Gum","Natural gum derived from the mesquite tree, used as a thickener and stabilizer",1,FALSE
"Sodium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Calcium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Potassium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Ammonium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Whey Protein Isolate","Protein derived from whey, used as a dietary supplement and food additive",2,FALSE
"Whey Protein Hydrolysate","Pre-digested form of whey protein, used as a dietary supplement and food additive",2,FALSE
"Pea Protein","Protein derived from peas, used as a dietary supplement and food additive",1,FALSE
"Rice Protein","Protein derived from rice, used as a dietary supplement and food additive",1,FALSE
"Hemp Protein","Protein derived from hemp seeds, used as a dietary supplement and food additive",1,FALSE
"Pumpkin Seed Protein","Protein derived from pumpkin seeds, used as a dietary supplement and food additive",1,FALSE
"Chia Protein","Protein derived from chia seeds, used as a dietary supplement and food additive",1,FALSE
"Flaxseed Protein","Protein derived from flaxseeds, used as a dietary supplement and food additive",1,FALSE
"Tartaric Acid","Organic acid, found naturally in many plants, used as an acidulant in food and beverages",2,FALSE
"Citric Acid","Organic acid, found naturally in citrus fruits, used as an acidulant and flavoring agent",2,FALSE
"Malic Acid","Organic acid, found naturally in fruits, used as an acidulant and flavoring agent",2,FALSE
"Fumaric Acid","Organic acid, used as an acidulant and flavoring agent in food and beverages",2,FALSE
"Succinic Acid","Organic acid, found naturally in some fruits and vegetables, used as an acidulant and flavoring agent",2,FALSE
"Adipic Acid","Organic acid, used as an acidulant and flavoring agent in food and beverages",3,FALSE
"Acetic Acid","Organic acid, found naturally in vinegar, used as a preservative and flavoring agent",2,FALSE
"Lactic Acid","Organic acid, produced during fermentation, used as an acidulant and flavoring agent",2,FALSE
"Sorbic Acid","Organic acid, used as a preservative in food and beverages",2,FALSE
"Benzoic Acid","Organic acid, used as a preservative in food and beverages",3,FALSE
"Propionic Acid","Organic acid, used as a preservative in food and beverages",3,FALSE
"Butyric Acid","Organic acid, found naturally in butter, used as a flavoring agent",2,FALSE
"Caproic Acid","Organic acid, found naturally in some animal fats, used as a flavoring agent",2,FALSE
"Caprylic Acid","Organic acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Capric Acid","Organic acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Lauric Acid","Fatty acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Myristic Acid","Fatty acid, found naturally in some fats and oils, used as a flavoring agent",2,FALSE
"Palmitic Acid","Fatty acid, found naturally in many animal and vegetable fats, used as a flavoring agent",2,FALSE
"Stearic Acid","Fatty acid, found naturally in many animal and vegetable fats, used as a flavoring agent",2,FALSE
"Oleic Acid","Monounsaturated fatty acid, found naturally in olive oil and other fats, used as a flavoring agent",2,FALSE
"Linoleic Acid","Polyunsaturated fatty acid, essential for human health, found in many vegetable oils",1,FALSE
"Alpha-Linolenic Acid","Polyunsaturated fatty acid, essential for human health, found in flaxseed, chia seeds, and walnuts",1,FALSE
"Arachidonic Acid","Polyunsaturated fatty acid, important for brain function, found in animal fats",1,FALSE
"Eicosapentaenoic Acid (EPA)","Omega-3 fatty acid, found in fatty fish like salmon and mackerel, important for heart health",1,FALSE
"Docosahexaenoic Acid (DHA)","Omega-3 fatty acid, found in fatty fish like salmon and mackerel, important for brain health",1,FALSE
"Isopropyl Alcohol","Alcohol compound, used as a solvent and disinfectant",3,FALSE
"Ethanol","Alcohol compound, commonly known as drinking alcohol, used in beverages and as a solvent",3,FALSE
"Methanol","Toxic alcohol compound, sometimes used as a solvent and fuel",4,FALSE
"Butanol","Alcohol compound, used as a solvent and fuel",3,FALSE
"Propylene Glycol Alginate","Ester of alginic acid, used as a stabilizer and thickener in food and beverages",2,FALSE
"Sodium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Potassium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Calcium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Magnesium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Gellan Gum","Microbial polysaccharide, used as a gelling agent and stabilizer in food and beverages",1,FALSE
"Tara Gum","Polysaccharide derived from the seeds of the tara tree, used as a thickener and stabilizer",1,FALSE
"Karaya Gum","Gum derived from the sap of the karaya tree, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Gum Ghatti","Natural gum derived from the sap of the Indian tree Anogeissus latifolia, used as a thickener and stabilizer",1,FALSE
"Carob Bean Gum","Polysaccharide derived from the seeds of the carob tree, used as a thickener and stabilizer",1,FALSE
"Mesquite Gum","Natural gum derived from the mesquite tree, used as a thickener and stabilizer",1,FALSE
"Sodium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Calcium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Potassium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Ammonium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Whey Protein Isolate","Protein derived from whey, used as a dietary supplement and food additive",2,FALSE
"Whey Protein Hydrolysate","Pre-digested form of whey protein, used as a dietary supplement and food additive",2,FALSE
"Pea Protein","Protein derived from peas, used as a dietary supplement and food additive",1,FALSE
"Rice Protein","Protein derived from rice, used as a dietary supplement and food additive",1,FALSE
"Hemp Protein","Protein derived from hemp seeds, used as a dietary supplement and food additive",1,FALSE
"Pumpkin Seed Protein","Protein derived from pumpkin seeds, used as a dietary supplement and food additive",1,FALSE
"Chia Protein","Protein derived from chia seeds, used as a dietary supplement and food additive",1,FALSE
"Tartaric Acid","Organic acid, found naturally in many plants, used as an acidulant in food and beverages",2,FALSE
"Citric Acid","Organic acid, found naturally in citrus fruits, used as an acidulant and flavoring agent",2,FALSE
"Malic Acid","Organic acid, found naturally in fruits, used as an acidulant and flavoring agent",2,FALSE
"Fumaric Acid","Organic acid, used as an acidulant and flavoring agent in food and beverages",2,FALSE
"Succinic Acid","Organic acid, found naturally in some fruits and vegetables, used as an acidulant and flavoring agent",2,FALSE
"Adipic Acid","Organic acid, used as an acidulant and flavoring agent in food and beverages",3,FALSE
"Acetic Acid","Organic acid, found naturally in vinegar, used as a preservative and flavoring agent",2,FALSE
"Lactic Acid","Organic acid, produced during fermentation, used as an acidulant and flavoring agent",2,FALSE
"Sorbic Acid","Organic acid, used as a preservative in food and beverages",2,FALSE
"Benzoic Acid","Organic acid, used as a preservative in food and beverages",3,FALSE
"Propionic Acid","Organic acid, used as a preservative in food and beverages",3,FALSE
"Butyric Acid","Organic acid, found naturally in butter, used as a flavoring agent",2,FALSE
"Caproic Acid","Organic acid, found naturally in some animal fats, used as a flavoring agent",2,FALSE
"Caprylic Acid","Organic acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Capric Acid","Organic acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Lauric Acid","Fatty acid, found naturally in coconut oil, used as a flavoring agent",2,FALSE
"Myristic Acid","Fatty acid, found naturally in some fats and oils, used as a flavoring agent",2,FALSE
"Palmitic Acid","Fatty acid, found naturally in many animal and vegetable fats, used as a flavoring agent",2,FALSE
"Stearic Acid","Fatty acid, found naturally in many animal and vegetable fats, used as a flavoring agent",2,FALSE
"Oleic Acid","Monounsaturated fatty acid, found naturally in olive oil and other fats, used as a flavoring agent",2,FALSE
"Linoleic Acid","Polyunsaturated fatty acid, essential for human health, found in many vegetable oils",1,FALSE
"Alpha-Linolenic Acid","Polyunsaturated fatty acid, essential for human health, found in flaxseed, chia seeds, and walnuts",1,FALSE
"Arachidonic Acid","Polyunsaturated fatty acid, important for brain function, found in animal fats",1,FALSE
"Eicosapentaenoic Acid (EPA)","Omega-3 fatty acid, found in fatty fish like salmon and mackerel, important for heart health",1,FALSE
"Docosahexaenoic Acid (DHA)","Omega-3 fatty acid, found in fatty fish like salmon and mackerel, important for brain health",1,FALSE
"Isopropyl Alcohol","Alcohol compound, used as a solvent and disinfectant",3,FALSE
"Ethanol","Alcohol compound, commonly known as drinking alcohol, used in beverages and as a solvent",3,FALSE
"Methanol","Toxic alcohol compound, sometimes used as a solvent and fuel",4,FALSE
"Butanol","Alcohol compound, used as a solvent and fuel",3,FALSE
"Propylene Glycol Alginate","Ester of alginic acid, used as a stabilizer and thickener in food and beverages",2,FALSE
"Sodium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Potassium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Calcium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Magnesium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Gellan Gum","Microbial polysaccharide, used as a gelling agent and stabilizer in food and beverages",1,FALSE
"Tara Gum","Polysaccharide derived from the seeds of the tara tree, used as a thickener and stabilizer",1,FALSE
"Karaya Gum","Gum derived from the sap of the karaya tree, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Gum Ghatti","Natural gum derived from the sap of the Indian tree Anogeissus latifolia, used as a thickener and stabilizer",1,FALSE
"Carob Bean Gum","Polysaccharide derived from the seeds of the carob tree, used as a thickener and stabilizer",1,FALSE
"Mesquite Gum","Natural gum derived from the mesquite tree, used as a thickener and stabilizer",1,FALSE
"Sodium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Calcium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Potassium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Ammonium Caseinate","Protein derived from milk, used as a food additive and emulsifier",2,TRUE
"Whey Protein Isolate","Protein derived from whey, used as a dietary supplement and food additive",2,FALSE
"Whey Protein Hydrolysate","Pre-digested form of whey protein, used as a dietary supplement and food additive",2,FALSE
"Pea Protein","Protein derived from peas, used as a dietary supplement and food additive",1,FALSE
"Rice Protein","Protein derived from rice, used as a dietary supplement and food additive",1,FALSE
"Hemp Protein","Protein derived from hemp seeds, used as a dietary supplement and food additive",1,FALSE
"Pumpkin Seed Protein","Protein derived from pumpkin seeds, used as a dietary supplement and food additive",1,FALSE
"Chia Protein","Protein derived from chia seeds, used as a dietary supplement and food additive",1,FALSE
"Flaxseed Protein","Protein derived from flaxseeds, used as a dietary supplement and food additive",1,FALSE
"Sunflower Protein","Protein derived from sunflower seeds, used as a dietary supplement and food additive",1,FALSE
"Potato Protein","Protein derived from potatoes, used as a dietary supplement and food additive",1,FALSE
"Collagen Peptides","Hydrolyzed form of collagen, used as a dietary supplement for skin and joint health",1,FALSE
"Gelatin Hydrolysate","Partially hydrolyzed form of gelatin, used as a dietary supplement for joint health",1,FALSE
"Fish Collagen","Collagen derived from fish, used as a dietary supplement for skin and joint health",1,FALSE
"Bovine Collagen","Collagen derived from cows, used as a dietary supplement for skin and joint health",1,FALSE
"Porcine Collagen","Collagen derived from pigs, used as a dietary supplement for skin and joint health",1,FALSE
"Chicken Collagen","Collagen derived from chickens, used as a dietary supplement for skin and joint health",1,FALSE
"Egg White Protein","Protein derived from egg whites, used as a dietary supplement and food additive",2,TRUE
"Egg Yolk Protein","Protein derived from egg yolks, used as a dietary supplement and food additive",2,TRUE
"Whole Egg Powder","Powdered form of whole eggs, used as a dietary supplement and food additive",2,TRUE
"Albumen","Protein component of egg whites, used as a food additive and dietary supplement",2,TRUE
"Lactoferrin","Protein found in milk, known for its antimicrobial properties, used as a dietary supplement",1,FALSE
"Lactoperoxidase","Enzyme found in milk, used in food processing and as a dietary supplement",1,FALSE
"Alpha-Lactalbumin","Protein found in milk, used as a dietary supplement",1,FALSE
"Beta-Lactoglobulin","Major protein found in whey, used as a dietary supplement and food additive",1,FALSE
"Ovalbumin","Major protein found in egg whites, used as a dietary supplement and food additive",2,TRUE
"Ovotransferrin","Protein found in egg whites, known for its iron-binding properties, used as a dietary supplement",2,TRUE
"Lysozyme","Enzyme found in egg whites and other bodily fluids, used as a preservative and dietary supplement",2,TRUE
"Avidin","Protein found in egg whites, known for its ability to bind biotin, used as a dietary supplement",2,TRUE
"Phosvitin","Protein found in egg yolks, known for its high phosphorus content, used as a dietary supplement",2,TRUE
"Soybean Hulls","Outer covering of soybeans, used as animal feed and in some food products",2,FALSE
"Soybean Germ","Embryo of the soybean, rich in nutrients, used in food production and as a dietary supplement",1,FALSE
"Soybean Meal","By-product of soybean processing, used as animal feed and in some food products",2,FALSE
"Soybean Oilcake","Residue left after soybean oil extraction, used as animal feed",2,FALSE
"Soybean Fiber","Dietary fiber derived from soybeans, used as a food additive and dietary supplement",1,FALSE
"Soybean Lecithin","Emulsifier derived from soybeans, used in food production and as a dietary supplement",2,TRUE
"Sunflower Lecithin","Emulsifier derived from sunflower seeds, used in food production and as a dietary supplement",1,FALSE
"Canola Lecithin","Emulsifier derived from canola seeds, used in food production and as a dietary supplement",1,FALSE
"Rapeseed Lecithin","Emulsifier derived from rapeseeds, used in food production and as a dietary supplement",1,FALSE
"Rice Bran Lecithin","Emulsifier derived from rice bran, used in food production and as a dietary supplement",1,FALSE
"Wheat Germ Oil","Oil extracted from the germ of wheat kernels, rich in nutrients, used as a dietary supplement",1,FALSE
"Oat Bran","Outer layer of oat grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Barley Bran","Outer layer of barley grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Rice Bran","Outer layer of rice grains, rich in nutrients, used as a dietary supplement",1,FALSE
"Corn Bran","Outer layer of corn kernels, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Sorghum Bran","Outer layer of sorghum grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Millet Bran","Outer layer of millet grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Quinoa Bran","Outer layer of quinoa grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Amaranth Bran","Outer layer of amaranth grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Teff Bran","Outer layer of teff grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Buckwheat Bran","Outer layer of buckwheat grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Rye Bran","Outer layer of rye grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Spelt Bran","Outer layer of spelt grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Kamut Bran","Outer layer of kamut grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Emmer Bran","Outer layer of emmer grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Einkorn Bran","Outer layer of einkorn grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Farro Bran","Outer layer of farro grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Freekeh Bran","Outer layer of freekeh grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Triticale Bran","Outer layer of triticale grains, rich in fiber and nutrients, used as a dietary supplement",1,FALSE
"Sorghum Flour","Flour made from sorghum grains, gluten-free alternative used in baking",1,FALSE
"Buckwheat Flour","Flour made from buckwheat grains, gluten-free alternative used in baking",1,FALSE
"Amaranth Flour","Flour made from amaranth grains, gluten-free alternative used in baking",1,FALSE
"Teff Flour","Flour made from teff grains, gluten-free alternative used in baking",1,FALSE
"Millet Flour","Flour made from millet grains, gluten-free alternative used in baking",1,FALSE
"Quinoa Flour","Flour made from quinoa grains, gluten-free alternative used in baking",1,FALSE
"Almond Meal","Ground almonds, used as a gluten-free flour alternative in baking",1,TRUE
"Walnut Meal","Ground walnuts, used as a flour alternative in baking",1,TRUE
"Hazelnut Meal","Ground hazelnuts, used as a flour alternative in baking",1,TRUE
"Pecan Meal","Ground pecans, used as a flour alternative in baking",1,TRUE
"Pistachio Meal","Ground pistachios, used as a flour alternative in baking",1,TRUE
"Cashew Meal","Ground cashews, used as a flour alternative in baking",1,TRUE
"Macadamia Meal","Ground macadamia nuts, used as a flour alternative in baking",1,TRUE
"Brazil Nut Meal","Ground Brazil nuts, used as a flour alternative in baking",1,TRUE
"Pine Nut Meal","Ground pine nuts, used as a flour alternative in baking",1,TRUE
"Chestnut Meal","Ground chestnuts, used as a flour alternative in baking",1,TRUE
"Sesame Seed Meal","Ground sesame seeds, used as a flour alternative in baking",1,TRUE
"Pumpkin Seed Meal","Ground pumpkin seeds, used as a flour alternative in baking",1,TRUE
"Sunflower Seed Meal","Ground sunflower seeds, used as a flour alternative in baking",1,TRUE
"Flaxseed Meal","Ground flaxseeds, used as a flour alternative in baking",1,TRUE
"Chia Seed Meal","Ground chia seeds, used as a flour alternative in baking",1,TRUE
"Hemp Seed Meal","Ground hemp seeds, used as a flour alternative in baking",1,TRUE
"Coconut Milk Powder","Dehydrated coconut milk, used as a dairy alternative in cooking and baking",2,FALSE
"Coconut Cream Powder","Dehydrated coconut cream, used as a dairy alternative in cooking and baking",2,FALSE
"Coconut Oil Powder","Dehydrated coconut oil, used as a flavoring and fat source in food products",2,FALSE
"MCT Oil Powder","Medium-chain triglyceride oil powder, used as a dietary supplement and flavoring agent",2,FALSE
"Palm Kernel Oil","Oil extracted from the kernels of palm fruit, used in cooking and food production",3,FALSE
"Palm Stearin","Solid fraction of palm oil, used in food production",3,FALSE
"Palm Olein","Liquid fraction of palm oil, used in food production",3,FALSE
"Palm Fatty Acid Distillate","By-product of palm oil refining, used in soap and cosmetic production",3,FALSE
"Cocoa Butter Substitute","Vegetable fat used as a substitute for cocoa butter in chocolate production",3,FALSE
"Cocoa Butter Equivalent","Vegetable fat used as an equivalent to cocoa butter in chocolate production",3,FALSE
"Cocoa Butter Replacer","Vegetable fat used as a replacer for cocoa butter in chocolate production",3,FALSE
"Cocoa Mass Substitute","Vegetable fat used as a substitute for cocoa mass in chocolate production",3,FALSE
"Cocoa Powder Substitute","Powdered vegetable fat used as a substitute for cocoa powder in baking",3,FALSE
"Carob Powder","Powder made from dried and ground carob pods, used as a cocoa substitute in baking",1,FALSE
"Carob Syrup","Syrup made from carob pods, used as a sweetener and flavoring agent",2,FALSE
"Locust Bean Gum","Thickening and stabilizing agent derived from the seeds of the carob tree",1,FALSE
"Gum Acacia","Gum derived from the sap of the acacia tree, used as a thickener and stabilizer",1,FALSE
"Xanthan Gum","Microbial polysaccharide, used as a thickener and stabilizer in food and beverages",1,FALSE
"Guar Gum","Galactomannan polysaccharide, used as a thickener and stabilizer in food and beverages",1,FALSE
"Karaya Gum","Gum derived from the sap of the karaya tree, used as a thickener and stabilizer",1,FALSE
"Tragacanth Gum","Gum derived from the sap of the astragalus plant, used as a thickener and stabilizer",1,FALSE
"Gum Arabic","Natural gum derived from the sap of the acacia tree, used as a thickener and stabilizer",1,FALSE
"Agar-Agar","Gelatinous substance derived from seaweed, used as a thickener and gelling agent",1,FALSE
"Alginic Acid","Polysaccharide derived from seaweed, used as a gelling agent and stabilizer",1,FALSE
"Sodium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Potassium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Calcium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Ammonium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Magnesium Alginate","Thickening and stabilizing agent derived from seaweed",1,FALSE
"Propylene Glycol Alginate","Ester of alginic acid, used as a stabilizer and thickener in food and beverages",2,FALSE
"Gelatin","Protein derived from collagen, used as a gelling agent and thickener in food and pharmaceuticals",2,TRUE
"Pectin","Polysaccharide found in fruits, used as a gelling agent and thickener in food",1,FALSE
"Carrageenan","Polysaccharide extracted from seaweed, used as a thickener and stabilizer in food",2,FALSE
"Furcellaran","Polysaccharide similar to carrageenan, derived from red seaweed, used as a gelling agent and stabilizer in food",2,FALSE
"Gellan Gum","Microbial polysaccharide, used as a gelling agent and stabilizer in food and beverages",1,FALSE
"Agarose","Polysaccharide derived from agar, used as a gelling agent in molecular biology and food",1,FALSE
"Gum Ghatti","Natural gum derived from the sap of the Indian tree Anogeissus latifolia, used as a thickener and stabilizer",1,FALSE
"Gum Karaya","Gum derived from the sap of the karaya tree, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Gum Tragacanth","Gum derived from the sap of the astragalus plant, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Guar Gum","Galactomannan polysaccharide, used as a thickener and stabilizer in food and beverages",1,FALSE
"Locust Bean Gum","Thickening and stabilizing agent derived from the seeds of the carob tree",1,FALSE
"Tara Gum","Polysaccharide derived from the seeds of the tara tree, used as a thickener and stabilizer",1,FALSE
"Mesquite Gum","Natural gum derived from the mesquite tree, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Acacia Gum","Gum derived from the sap of the acacia tree, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Sodium Carboxymethylcellulose","Cellulose derivative, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Hydroxypropyl Methylcellulose","Cellulose derivative, used as a thickener, emulsifier, and stabilizer in food",1,FALSE
"Methylcellulose","Cellulose derivative, used as a thickener and stabilizer in food and pharmaceuticals",1,FALSE
"Microcrystalline Cellulose","Cellulose derivative, used as a bulking agent, emulsifier, and stabilizer in food",1,FALSE
"Cellulose Gum","Cellulose derivative, used as a thickener, stabilizer, and emulsifier in food and pharmaceuticals",1,FALSE
"Ethylcellulose","Cellulose derivative, used as a coating agent, binder, and filler in food and pharmaceuticals",1,FALSE
"Hydroxyethylcellulose","Cellulose derivative, used as a thickener, binder, and stabilizer in food and cosmetics",1,FALSE
"Hydroxypropylcellulose","Cellulose derivative, used as a thickener, binder, and stabilizer in food and pharmaceuticals",1,FALSE
"Carboxymethylcellulose Sodium","Cellulose derivative, used as a thickener, stabilizer, and emulsifier in food",1,FALSE
"Calcium Carboxymethylcellulose","Cellulose derivative, used as a thickener, stabilizer, and emulsifier in food",1,FALSE
"Polyvinylpyrrolidone","Synthetic polymer, used as a binder, film-former, and stabilizer in food and pharmaceuticals",2,FALSE
"Polyvinyl Alcohol","Synthetic polymer, used as a film-former, emulsifier, and thickener in food and pharmaceuticals",2,FALSE
"Polysorbate 20","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Polysorbate 40","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Polysorbate 60","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Polysorbate 80","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Sorbitan Monostearate","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Sorbitan Monolaurate","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Sorbitan Monooleate","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Sorbitan Monopalmitate","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Sorbitan Trioleate","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Sorbitan Tristearate","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Sorbitan Sesquioleate","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Sorbitan Sesquistearate","Emulsifier derived from sorbitol, used in food, cosmetics, and pharmaceuticals",1,FALSE
"Mannitol","Sugar alcohol, used as a sweetener, bulking agent, and sugar substitute in food",2,FALSE
"Sorbitol","Sugar alcohol, used as a sweetener, humectant, and sugar substitute in food",2,FALSE
"Xylitol","Sugar alcohol, used as a sweetener and sugar substitute in food and dental products",2,FALSE
"Erythritol","Sugar alcohol, used as a sweetener and sugar substitute in food and beverages",1,FALSE
"Maltitol","Sugar alcohol, used as a sweetener and sugar substitute in food and beverages",2,FALSE
"Lactitol","Sugar alcohol, used as a sweetener and sugar substitute in food and beverages",2,FALSE
"Isomalt","Sugar alcohol, used as a sweetener and sugar substitute in food and beverages",2,FALSE

Ingredient_Name,Description,Health_Risk_Score,Is_Allergen
"Hydrogenated Starch Hydrolysates","Sugar alcohol used as a sweetener and bulking agent in food products",2,FALSE
"Tagatose","Low-calorie sweetener naturally found in some dairy products, used as a sugar substitute",2,FALSE
"Trehalose","Disaccharide sugar found in mushrooms, yeast, and some plants, used as a sweetener and stabilizer",2,FALSE
"Isomaltulose","Natural sweetener derived from sucrose, used as a sugar substitute with a lower glycemic index",2,FALSE
"Palatinose","Brand name for isomaltulose, a low-glycemic sweetener derived from sucrose",2,FALSE
"Allulose","Low-calorie sugar substitute found naturally in small amounts in some fruits",1,FALSE
"Dextrose","Simple sugar derived from corn, used as a sweetener and carbohydrate source",2,FALSE
"Glucose","Simple sugar, primary source of energy for cells, used as a sweetener and carbohydrate source",2,FALSE
"Fructose","Simple sugar found in fruits, honey, and some vegetables, used as a sweetener",3,FALSE
"Sucrose","Common table sugar, made up of glucose and fructose, used as a sweetener",3,FALSE
"Lactose","Sugar found in milk and dairy products, composed of glucose and galactose",2,TRUE
"Maltose","Sugar formed from the breakdown of starch, composed of two glucose molecules",2,FALSE
"Galactose","Simple sugar found in milk and dairy products, used as a component of lactose",2,FALSE
"Ribose","Simple sugar involved in the synthesis of nucleotides and nucleic acids",1,FALSE
"Arabinose","Simple sugar found in plant gums and hemicellulose, used in biochemical research",1,FALSE
"Xylose","Simple sugar found in wood, straw, and corn cobs, used in biochemical research",1,FALSE
"Mannose","Simple sugar found in plants and some microorganisms, used in biochemical research",1,FALSE
"Rhamnose","Deoxy sugar found in plants and some bacteria, used in biochemical research",1,FALSE
"Cellobiose","Disaccharide sugar formed from the hydrolysis of cellulose, composed of two glucose molecules",1,FALSE
"Melibiose","Disaccharide sugar found in legumes, composed of galactose and glucose",1,FALSE
"Trehalose","Disaccharide sugar found in mushrooms, yeast, and some plants, used as a sweetener and stabilizer",2,FALSE
"Melezitose","Trisaccharide sugar found in honeydew, composed of three glucose molecules",1,FALSE
"Raffinose","Trisaccharide sugar found in beans, cabbage, and other vegetables, composed of galactose, glucose, and fructose",1,FALSE
"Stachyose","Tetrasaccharide sugar found in beans and other legumes, composed of galactose, glucose, and fructose",1,FALSE
"Verbascose","Pentasaccharide sugar found in some plants, composed of galactose, glucose, and fructose",1,FALSE
"Fructooligosaccharides","Short-chain carbohydrates found in fruits, vegetables, and grains, used as prebiotic fibers",1,FALSE
"Galactooligosaccharides","Short-chain carbohydrates found in dairy products and some legumes, used as prebiotic fibers",1,FALSE
"Xylooligosaccharides","Short-chain carbohydrates found in wood and plant fibers, used as prebiotic fibers",1,FALSE
"Isomaltooligosaccharides","Short-chain carbohydrates derived from starch, used as prebiotic fibers and sweeteners",1,FALSE
"Maltodextrin","Polysaccharide derived from starch, used as a food additive and sweetener",2,FALSE
"Cyclodextrin","Cyclic oligosaccharide derived from starch, used in food, pharmaceuticals, and cosmetics",2,FALSE
"Inulin","Polysaccharide found in plants, used as a prebiotic fiber and food additive",1,FALSE
"Polydextrose","Synthetic polymer of glucose, used as a bulking agent and prebiotic fiber in food products",1,FALSE
"Lactulose","Synthetic disaccharide derived from lactose, used as a laxative and prebiotic",2,FALSE
